epoch,accuracy,loss,val_accuracy,val_loss
0,0.5993883609771729,0.7256316542625427,0.5757575631141663,0.6595742702484131
1,0.6605504751205444,0.6084234714508057,0.6454545259475708,0.6489112973213196
2,0.7094801068305969,0.5316320061683655,0.8121212124824524,0.44205695390701294
3,0.7675840854644775,0.45456624031066895,0.8060606122016907,0.578635036945343
4,0.8623853325843811,0.33407628536224365,0.8545454740524292,0.2701331675052643
5,0.9235473871231079,0.20513685047626495,0.8757575750350952,0.2652415335178375
6,0.9816513657569885,0.07925841212272644,1.0,0.03909669443964958
7,1.0,0.014709848910570145,1.0,0.006400544196367264
8,1.0,0.004653826355934143,1.0,0.0036939592100679874
9,1.0,0.0031655950006097555,1.0,0.0022276584059000015
