epoch,accuracy,loss,val_accuracy,val_loss
0,0.639143705368042,0.7084908485412598,0.4121212065219879,0.8440546989440918
1,0.6727828979492188,0.6094120740890503,0.38787877559661865,0.8052008152008057
2,0.7247706651687622,0.5417956709861755,0.8333333134651184,0.4676631987094879
3,0.7920489311218262,0.43286916613578796,0.5090909004211426,0.6773383617401123
4,0.9418960213661194,0.22215089201927185,0.7696969509124756,0.3150910437107086
5,0.9694189429283142,0.12925346195697784,0.9939393997192383,0.06154279410839081
6,1.0,0.023637771606445312,1.0,0.007422064896672964
7,1.0,0.005787502508610487,1.0,0.004404214210808277
8,1.0,0.0038384031504392624,1.0,0.003294925671070814
9,1.0,0.003754648845642805,1.0,0.004637975245714188
