epoch,accuracy,loss,val_accuracy,val_loss
0,0.6177369952201843,0.7648926377296448,0.678787887096405,0.6557686924934387
1,0.6544342637062073,0.626156210899353,0.4333333373069763,0.7396023273468018
2,0.7247706651687622,0.5673940777778625,0.760606050491333,0.5055938363075256
3,0.752293586730957,0.4737100899219513,0.6939393877983093,0.5806385278701782
4,0.7828746438026428,0.4630384147167206,0.9363636374473572,0.33109092712402344
5,0.9235473871231079,0.23687756061553955,0.9939393997192383,0.10586747527122498
6,0.9908257126808167,0.07210488617420197,1.0,0.025585783645510674
7,1.0,0.01817377097904682,1.0,0.007419351954013109
8,1.0,0.005747382994741201,1.0,0.006804860197007656
9,1.0,0.0050729322247207165,1.0,0.0029095541685819626
