epoch,accuracy,loss,val_accuracy,val_loss
0,0.6666666865348816,3.282155752182007,0.4840182662010193,3.3631668090820312
1,0.6805555820465088,3.2224321365356445,0.6255707740783691,4.226625919342041
2,0.7175925970077515,3.036949634552002,0.6917808055877686,4.229964256286621
3,0.6898148059844971,3.621619701385498,0.689497709274292,4.472090721130371
4,0.7361111044883728,3.504884719848633,0.6940639019012451,4.417905807495117
5,0.7129629850387573,3.429692506790161,0.7054794430732727,4.032597064971924
6,0.7407407164573669,3.0323948860168457,0.689497709274292,3.37375807762146
7,0.7361111044883728,3.2208430767059326,0.6963470578193665,3.3504765033721924
8,0.7685185074806213,2.8363661766052246,0.7146118879318237,3.4067015647888184
9,0.7824074029922485,2.9489195346832275,0.7214611768722534,3.3318021297454834
