epoch,accuracy,loss,val_accuracy,val_loss
0,0.6269113421440125,0.6450867056846619,0.6727272868156433,0.6526252031326294
1,0.6819571852684021,0.5712975263595581,0.7151514887809753,0.520278811454773
2,0.7920489311218262,0.4740167558193207,0.9484848380088806,0.3940497636795044
3,0.8654434084892273,0.4058733284473419,0.8545454740524292,0.3150254189968109
4,0.8746177554130554,0.32344457507133484,0.9272727370262146,0.23121139407157898
5,0.9418960213661194,0.2046055644750595,0.9848484992980957,0.11148237437009811
6,0.9510703086853027,0.16564439237117767,0.9757575988769531,0.10894385725259781
7,0.9602446556091309,0.13650187849998474,0.9727272987365723,0.09474603831768036
8,0.9724770784378052,0.11842978745698929,0.9939393997192383,0.06169438734650612
9,0.9602446556091309,0.11690165102481842,0.9969696998596191,0.05802181735634804
