epoch,accuracy,loss,val_accuracy,val_loss
0,0.47488585114479065,0.7702249884605408,0.6826484203338623,0.5953459143638611
1,0.7077625393867493,0.5899360179901123,0.6849315166473389,0.5742388367652893
2,0.7397260069847107,0.504188060760498,0.6803653240203857,0.5421592593193054
3,0.7579908967018127,0.4863922595977783,0.6940639019012451,0.5250955820083618
4,0.8219178318977356,0.4193587899208069,0.7077625393867493,0.5109311938285828
5,0.8173515796661377,0.3932276964187622,0.72374427318573,0.4924420714378357
6,0.844748854637146,0.36480966210365295,0.7168949842453003,0.6147855520248413
7,0.8630136847496033,0.3365480303764343,0.7305936217308044,0.5794132947921753
8,0.8675799369812012,0.31831681728363037,0.7374429106712341,0.49382540583610535
9,0.8264840245246887,0.3234695494174957,0.7557077407836914,0.44889792799949646
