epoch,accuracy,loss,val_accuracy,val_loss
0,0.642201840877533,0.6434982419013977,0.6424242258071899,0.617453932762146
1,0.6850152611732483,0.5772810578346252,0.7848485112190247,0.5592159628868103
2,0.7584097981452942,0.5152786374092102,0.8484848737716675,0.42873919010162354
3,0.8103975653648376,0.42799970507621765,0.842424213886261,0.33541038632392883
4,0.8899082541465759,0.3310030400753021,0.9121212363243103,0.3212224841117859
5,0.9021406769752502,0.2565322518348694,0.9969696998596191,0.13155044615268707
6,0.9480122327804565,0.19971024990081787,0.9969696998596191,0.09617432951927185
7,0.9755351543426514,0.11873985826969147,0.9939393997192383,0.07874712347984314
8,0.9571865200996399,0.1272851526737213,0.9939393997192383,0.056030381470918655
9,0.9724770784378052,0.09384268522262573,0.978787899017334,0.08852022141218185
