epoch,accuracy,loss,val_accuracy,val_loss
0,0.6299694180488586,0.7166072130203247,0.7151514887809753,0.6078593134880066
1,0.7003058195114136,0.6053155064582825,0.6818181872367859,0.6087417602539062
2,0.7003058195114136,0.5769996047019958,0.657575786113739,0.5274366140365601
3,0.7247706651687622,0.565872073173523,0.7969697117805481,0.4659577012062073
4,0.7339449524879456,0.504731297492981,0.8333333134651184,0.4019169211387634
5,0.822629988193512,0.3950238823890686,0.8575757741928101,0.25641968846321106
6,0.9388379454612732,0.20443277060985565,1.0,0.07983531802892685
7,0.9877675771713257,0.06105316802859306,0.9969696998596191,0.037127673625946045
8,1.0,0.015152810141444206,1.0,0.005982315633445978
9,1.0,0.005441047716885805,1.0,0.0032728281803429127
