epoch,accuracy,loss,val_accuracy,val_loss
0,0.6296296119689941,0.6941241025924683,0.689497709274292,0.6927564144134521
1,0.6666666865348816,0.693062961101532,0.6849315166473389,0.6921917796134949
2,0.6712962985038757,0.6923161745071411,0.6849315166473389,0.6915751695632935
3,0.6666666865348816,0.6915683150291443,0.6849315166473389,0.6909237504005432
4,0.6712962985038757,0.6908206939697266,0.732876718044281,0.69012451171875
5,0.6990740895271301,0.6902065873146057,0.7465753555297852,0.6894132494926453
6,0.6898148059844971,0.6893162727355957,0.6826484203338623,0.6882211565971375
7,0.7222222089767456,0.6875975131988525,0.7054794430732727,0.6861411929130554
8,0.6898148059844971,0.6864528656005859,0.7054794430732727,0.684395968914032
9,0.7314814925193787,0.6819600462913513,0.72374427318573,0.6817803382873535
